

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

500.982  002.398  001.384: sourcing /usr/local/share/nvim/runtime/plugin/matchit.vim
501.748  000.709  000.709: sourcing /usr/local/share/nvim/runtime/plugin/matchparen.vim
514.561  012.738  012.738: sourcing /usr/local/share/nvim/runtime/plugin/netrwPlugin.vim
523.409  001.224  001.224: sourcing /usr/local/share/nvim/runtime/autoload/remote/define.vim
524.075  006.603  005.378: sourcing /home/coma/.local/share/nvim/rplugin.vim
524.103  009.446  002.844: sourcing /usr/local/share/nvim/runtime/plugin/rplugin.vim
524.703  000.520  000.520: sourcing /usr/local/share/nvim/runtime/plugin/shada.vim
524.891  000.105  000.105: sourcing /usr/local/share/nvim/runtime/plugin/spellfile.vim
525.708  000.714  000.714: sourcing /usr/local/share/nvim/runtime/plugin/tarPlugin.vim
526.077  000.270  000.270: sourcing /usr/local/share/nvim/runtime/plugin/tohtml.vim
526.218  000.076  000.076: sourcing /usr/local/share/nvim/runtime/plugin/tutor.vim
527.003  000.728  000.728: sourcing /usr/local/share/nvim/runtime/plugin/zipPlugin.vim
551.798  012.664  012.664: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/nvim-treesitter.lua
553.506  001.529  001.529: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/plugin/telescope.lua
560.328  031.323: loading rtp plugins
560.758  000.429: loading packages
561.350  000.433  000.433: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/after/plugin/UltiSnips_after.vim
561.527  000.337: loading after plugins
561.571  000.044: inits 3
577.256  015.685: reading ShaDa
585.230  001.180  001.180: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/autoload/syntastic/log.vim
591.928  006.293  006.293: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/ale/autoload/ale.vim
592.172  007.443: opening buffers
593.067  000.563  000.563: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/autoload/molder.vim
595.032  000.904  000.904: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/vim-gitgutter/autoload/gitgutter.vim
608.749  005.777  005.777: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/lightline.vim/autoload/lightline.vim
612.487  001.550  001.550: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/vim-gitgutter/autoload/gitgutter/hunk.vim
